"Pk","Player","College","draft_year","athlete_id","team_id","athlete_position_name","athlete_headshot_href","team_location","team_logo","minutes","field_goals_made","field_goals_attempted","three_point_field_goals_made","three_point_field_goals_attempted","free_throws_made","free_throws_attempted","offensive_rebounds","defensive_rebounds","rebounds","assists","steals","blocks","turnovers","fouls","points","games"
17,"Danny Granger","New Mexico",2005,6194,167,"Forward",NA,"New Mexico","https://a.espncdn.com/i/teamlogos/ncaa/500/167.png",30.04,6.04,11.62,1.58,3.5,5.12,6.79,2.25,6.29,8.54,2.58,2.12,2.04,2.25,2.46,18.79,24
19,"Hakim Warrick","Syracuse",2005,5002,183,"Forward",NA,"Syracuse","https://a.espncdn.com/i/teamlogos/ncaa/500/183.png",37.54,7.42,13.65,0.27,0.96,6.62,9.5,3.15,5.12,8.27,1.23,1.08,0.5,2.54,2.58,21.73,26
20,"Julius Hodge","NC State",2005,5128,152,"Guard/Forward",NA,"NC State","https://a.espncdn.com/i/teamlogos/ncaa/500/152.png",34.57,5.63,11.83,0.47,1.67,5.03,7.27,2.63,4.07,6.7,4.87,1.47,0.67,2.6,2.3,16.77,30
21,"Nate Robinson","Washington",2005,11304,264,"Guard",NA,"Washington","https://a.espncdn.com/i/teamlogos/ncaa/500/264.png",30.77,5.27,11.47,1.77,4.67,3.73,4.83,1.53,2.17,3.7,4.5,1.8,0.1,2,2.9,16.03,30
22,"Jarrett Jack","Georgia Tech",2005,13930,59,"Guard",NA,"Georgia Tech","https://a.espncdn.com/i/teamlogos/ncaa/500/59.png",33.68,4.82,9.64,1.43,3.25,4.04,4.61,0.25,4.64,4.89,4.61,1.71,0.11,3.18,1.68,15.11,28
23,"Francisco Garcia","Louisville",2005,11859,97,"Forward",NA,"Louisville","https://a.espncdn.com/i/teamlogos/ncaa/500/97.png",31.65,5.03,11.44,1.94,5.12,4.29,4.91,1.09,2.85,3.94,3.88,1.79,1.47,2.59,2.88,16.29,34
24,"Luther Head","Illinois",2005,5109,356,"Guard",NA,"Illinois","https://a.espncdn.com/i/teamlogos/ncaa/500/356.png",33.49,5.46,11.89,2.92,7.24,2.05,2.59,0.62,3.38,4,3.76,1.68,0.22,1.81,1.46,15.89,37
26,"Jason Maxiell","Cincinnati",2005,8015,2132,"Forward",NA,"Cincinnati","https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png",31.73,5.23,9.5,0.07,0.13,5.4,8.37,3.33,4.37,7.7,0.8,0.93,2.63,1.97,2.43,15.93,30
27,"Linas Kleiza","Missouri",2005,15346,142,"Forward/Center",NA,"Missouri","https://a.espncdn.com/i/teamlogos/ncaa/500/142.png",31.32,5,12.45,0.87,3.29,4.84,6.68,2.26,5.48,7.74,1.65,0.61,0.23,2.71,2.84,15.71,31
29,"Wayne Simien","Kansas",2005,5328,2305,"Forward",NA,"Kansas","https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png",34.61,7.35,13.35,0.13,0.57,5.3,6.61,3.09,7.74,10.83,1.48,0.65,0.61,2.22,2.48,20.13,23
30,"David Lee","Florida",2005,4978,57,"Forward",NA,"Florida","https://a.espncdn.com/i/teamlogos/ncaa/500/57.png",28.38,5,9.59,0,0.1,3.62,5.1,2.38,6.62,9,2.24,1.14,0.79,2.76,2.34,13.62,29
30,"David Lee","Florida",2005,5708,294,"Guard",NA,"Jacksonville","https://a.espncdn.com/i/teamlogos/ncaa/500/294.png",31.95,4.64,10.32,1.5,4.09,2.36,3.05,0.68,3.05,3.73,2.45,1.27,0.14,2.27,1.86,13.14,22
31,"Salim Stoudamire","Arizona",2005,4969,12,"Guard",NA,"Arizona","https://a.espncdn.com/i/teamlogos/ncaa/500/12.png",31.53,5.74,11.59,3.24,6.56,3.44,3.79,0.24,2.06,2.29,2.21,0.85,0.12,2.44,1.91,18.15,34
32,"Daniel Ewing","Duke",2005,5074,150,"Guard",NA,"Duke","https://a.espncdn.com/i/teamlogos/ncaa/500/150.png",35.21,5.45,12.76,1.97,6,2.28,3.24,0.72,2.52,3.24,4.1,1.93,0.38,3,3,15.14,29
33,"Brandon Bass","LSU",2005,15370,99,"Forward",NA,"LSU","https://a.espncdn.com/i/teamlogos/ncaa/500/99.png",33.41,5.93,10.63,0.41,0.89,5.15,6.59,2.59,6.19,8.78,0.7,0.81,1.52,1.7,2.41,17.41,27
37,"Ronny Turiaf","Gonzaga",2005,6585,2250,"Forward",NA,"Gonzaga","https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png",30.54,5.12,9.73,0.08,0.19,5.5,8.08,2.5,6.92,9.42,1.5,0.42,1.88,2.19,2.73,15.81,26
38,"Travis Diener","Marquette",2005,5383,269,"Guard",NA,"Marquette","https://a.espncdn.com/i/teamlogos/ncaa/500/269.png",33.69,5.44,13.19,2.5,6.75,4.94,6.12,0.69,3.25,3.94,7.31,1.56,0.06,2.88,2.31,18.31,16
39,"Von Wafer","Florida State",2005,15565,52,"Guard",NA,"Florida State","https://a.espncdn.com/i/teamlogos/ncaa/500/52.png",26.46,4.42,9.96,2.5,5.88,1.88,2.46,0.17,2.12,2.29,1.79,1.08,0.21,1.62,1.17,13.21,24
42,"Chris Taft","Pitt",2005,15478,221,"Forward",NA,"Pittsburgh","https://a.espncdn.com/i/teamlogos/ncaa/500/221.png",26.92,5.52,9.32,0,0,2.32,4,2.84,4.28,7.12,0.72,0.32,1.76,1.52,1.76,13.36,25
47,"Bracey Wright","Indiana",2005,10975,84,"Guard",NA,"Indiana","https://a.espncdn.com/i/teamlogos/ncaa/500/84.png",35.83,6,14.57,2.04,6.17,5.09,6.43,1.43,3.78,5.22,2.91,1.17,0.61,2.61,1.91,19.13,23
50,"Ryan Gomes","Providence",2005,5087,2507,"Forward",NA,"Providence","https://a.espncdn.com/i/teamlogos/ncaa/500/2507.png",37.78,8.11,16.63,1.67,4.56,4.07,5.26,3.04,5.37,8.41,3.11,1.44,0.19,2.52,1.56,21.96,27
53,"Orien Greene","Louisiana",2005,2842,309,"Guard",NA,"Louisiana","https://a.espncdn.com/i/teamlogos/ncaa/500/309.png",31.68,3.68,9.64,1.36,4.27,2.32,3,1.32,3.5,4.82,4.09,2.77,0.23,3.23,2.86,11.05,22
54,"Dijon Thompson","UCLA",2005,8000,26,"Guard/Forward",NA,"UCLA","https://a.espncdn.com/i/teamlogos/ncaa/500/26.png",35.33,6.71,13.92,1.54,4.17,4.21,5.33,1.75,6.33,8.08,2.33,1.5,0.38,3.33,2.21,19.17,24
55,"Lawrence Roberts","Mississippi State",2005,5202,344,"Forward",NA,"Mississippi State","https://a.espncdn.com/i/teamlogos/ncaa/500/344.png",31.61,5.43,12.04,0.32,1.29,5.93,8.82,3.46,7.43,10.89,1.89,1.5,0.93,2.75,2.21,17.11,28
60,"Alex Acker","Pepperdine",2005,11674,2492,"Guard",NA,"Pepperdine","https://a.espncdn.com/i/teamlogos/ncaa/500/2492.png",37.18,6,13.07,2,4.54,2.82,3.36,1.18,5.07,6.25,3.54,1.36,0.5,2.71,1.93,16.82,28
2,"LaMarcus Aldridge","Texas",2006,22514,251,"Forward",NA,"Texas","https://a.espncdn.com/i/teamlogos/ncaa/500/251.png",33.69,5.81,10.28,0,0,3.17,4.86,3.56,5.56,9.11,0.56,1.36,1.97,1.58,2.47,14.78,36
3,"Adam Morrison","Gonzaga",2006,15399,2250,"Forward",NA,"Gonzaga","https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png",36.87,9.17,18.53,2.27,5.3,7.47,9.8,1.37,4.33,5.7,1.77,1.13,0.33,2.1,1.87,28.07,30
4,"Tyrus Thomas","LSU",2006,22259,99,"Forward",NA,"LSU","https://a.espncdn.com/i/teamlogos/ncaa/500/99.png",25.87,4.68,7.77,0,0,2.71,4.06,2.68,6.45,9.13,1.32,1,3.19,1.81,2.55,12.06,31
