"Player","College","draft_year","Pk","athlete_id","team_location","num_years_college","college_1","college_2","college_3","college_4","nba_season_1","nba_season_2","nba_season_3","nba_season_4","nba_season_5"
"Allen Crabbe","California",2013,31,51022,"California",3,5.733,10.96,12.522,NA,-2.78,-2.07,-0.53,-1.08,-0.09
"Amari Bailey","UCLA",2023,41,5105638,"UCLA",1,4.948,NA,NA,NA,-2.6,NA,NA,NA,NA
"Amari Williams","Kentucky",2025,46,4702745,"Kentucky",4,7.458,9.65,11.093,13.329,-2.81,NA,NA,NA,NA
"Andre Drummond","UConn",2012,9,57279,"UConn",1,5.414,NA,NA,NA,0.34,0.46,0.31,0.34,-0.57
"Andre Jackson","UConn",2023,36,4432190,"UConn",3,3.889,4.82,11.093,NA,-1.92,-2.87,-1.64,NA,NA
"Andre Roberson","Colorado",2013,26,51029,"Colorado",3,3.391,9.269,6.159,NA,-0.45,0.28,1.2,1.83,2.5
"Andrew Goudelock","College of Charleston",2011,46,36889,"College of Charleston",4,6.664,5.916,12.045,15.633,-2.66,-3.05,-2.37,NA,NA
"Andrew Harrison","Kentucky",2015,44,66615,"Kentucky",2,6.279,8.03,NA,NA,-0.97,-1.25,-1.37,NA,NA
"Andrew Nembhard","Gonzaga",2022,31,4395712,"Gonzaga",4,7.48,10.362,11.093,13.329,-2.53,-1.25,0.12,-0.32,NA
"Andrew Nicholson","St. Bonaventure",2012,19,41510,"St. Bonaventure",4,3.979,8.704,10.695,15.357,-2.2,-2.46,-2.62,-0.72,-2.74
"Andrew Wiggins","Kansas",2014,1,67429,"Kansas",1,11.697,NA,NA,NA,-1.42,-0.5,-0.13,-0.79,-1.22
"Andy Rautins","Syracuse",2010,38,27189,"Syracuse",4,3.581,8.07,11.093,13.329,-1.89,NA,NA,NA,NA
"Anthony Bennett","UNLV",2013,1,61902,"UNLV",1,9.256,NA,NA,NA,-2.83,-2.74,-2.29,-1.17,NA
"Anthony Black","Arkansas",2023,6,4712849,"Arkansas",1,6.766,NA,NA,NA,-1.33,-0.48,0.25,NA,NA
"Anthony Brown","Stanford",2015,34,51361,"Stanford",4,3.007,3.635,11.093,13.329,-0.94,-1.84,-0.82,NA,NA
"Anthony Davis","Kentucky",2012,1,56353,"Kentucky",1,18.595,NA,NA,NA,1.15,2.11,4.21,2.31,3.04
"Anthony Edwards","Georgia",2020,1,4594268,"Georgia",1,10.665,NA,NA,NA,0.64,2.23,3.15,3.62,4.29
"Anthony Randolph","LSU",2008,14,36181,"LSU",1,8.652,NA,NA,NA,-0.95,-1.09,-1.39,-1.14,-1.1
"Anton Watson","Gonzaga",2024,54,4431705,"Gonzaga",4,4.787,5.501,7.498,10.908,-2.75,-2.62,NA,NA,NA
"Antonio Reeves","Kentucky",2024,47,4592686,"Kentucky",4,6.186,11.794,11.093,13.329,-1.78,-1.04,NA,NA,NA
"Archie Goodwin","Kentucky",2013,29,61841,"Kentucky",1,6.28,NA,NA,NA,-2.34,-1.88,-2.37,-2.21,NA
"Armon Johnson","Nevada",2010,34,36326,"Nevada",3,5.851,6.805,6.673,NA,-3.05,-3.15,NA,NA,NA
"Arnett Moultrie","Mississippi State",2012,27,41183,"Mississippi State",3,14.243,9.65,11.093,NA,-0.7,-1.67,NA,NA,NA
"Arsalan Kazemi","Oregon",2013,54,45677,"Oregon",4,6.727,9.65,11.093,13.329,-10,NA,NA,NA,NA
"Asa Newell","Georgia",2025,23,4873201,"Georgia",1,12.76,NA,NA,NA,-0.59,NA,NA,NA,NA
"Austin Daye","Gonzaga",2009,15,36390,"Gonzaga",2,7.193,5.356,NA,NA,-1.2,-1.06,-2.6,-1.92,-1.79
"Austin Rivers","Duke",2012,10,56112,"Duke",1,8.646,NA,NA,NA,-1.77,-1.54,-2.5,-2.53,-1.8
"Avery Bradley","Texas",2010,19,46196,"Texas",1,4.746,NA,NA,NA,-2.63,-0.43,-1.12,-0.68,-0.28
"Ayo Dosunmu","Illinois",2021,38,4397002,"Illinois",3,7.285,10.622,20.14,NA,-1.94,-1.74,-1.07,-1.41,-0.4
"Balsa Koprivica","Florida State",2021,57,4432829,"Florida State",2,6.623,9.65,NA,NA,-10,NA,NA,NA,NA
"Baylor Scheierman","Creighton",2024,30,4593841,"Creighton",4,7.164,14.512,11.093,13.329,-0.92,-0.33,NA,NA,NA
"Ben Bentil","Providence",2016,51,3136469,"Providence",2,3.781,15.02,NA,NA,-3.13,NA,NA,NA,NA
"Ben McLemore","Kansas",2013,7,56652,"Kansas",1,11.188,NA,NA,NA,-2.49,-0.62,-0.33,-0.88,-2.4
"Ben Sheppard","Belmont",2023,26,4433076,"Belmont",4,5.687,9.448,9.791,13.329,-0.56,-1.95,-1.43,NA,NA
"Ben Simmons","LSU",2016,1,3907387,"LSU",1,16.223,NA,NA,NA,-0.51,1.36,1.3,0.85,1.96
"Bennedict Mathurin","Arizona",2022,6,4683634,"Arizona",2,7.547,13.192,NA,NA,-3.01,-2.96,-1.5,-1.6,NA
"Bernard James","Florida State",2012,33,51353,"Florida State",2,3.699,6.952,NA,NA,-2.43,-3.35,-1.61,NA,NA
"Blake Griffin","Oklahoma",2009,1,36259,"Oklahoma",2,12.263,20.061,NA,NA,-0.54,1.33,3.63,3.07,4.4
"Blake Wesley","Notre Dame",2022,25,4683935,"Notre Dame",1,7.19,NA,NA,NA,-2.9,-2.04,-1.64,-2.38,NA
"Bobby Portis","Arkansas",2015,22,66332,"Arkansas",2,8.445,13.588,NA,NA,-3.65,-1.49,0.2,-0.98,-1.84
"Bradley Beal","Florida",2012,3,56792,"Florida",1,12.248,NA,NA,NA,-0.4,0.02,0.22,-0.06,2.37
"Branden Dawson","Michigan State",2015,56,56933,"Michigan State",4,5.679,4.602,9.703,8.768,-2.45,NA,NA,NA,NA
"Brandin Podziemski","Santa Clara",2023,19,4709138,"Santa Clara",2,15.967,9.65,NA,NA,-1.34,-0.02,0.52,NA,NA
"Brandon Boston","Kentucky",2021,51,4432162,"Kentucky",1,5.461,NA,NA,NA,-1.88,-2.05,-3.24,-1.15,-1.18
"Brandon Clarke","Gonzaga",2019,21,3906665,"Gonzaga",3,15.994,9.65,11.093,NA,0.04,1.05,1.48,1.09,0.84
"Brandon Ingram","Duke",2016,2,3913176,"Duke",1,11.22,NA,NA,NA,-2.23,0.13,-0.76,0.49,1.59
"Brandon Knight","Kentucky",2011,8,51542,"Kentucky",1,10.72,NA,NA,NA,-2.16,-2.37,-0.89,-1.54,-1.65
"Brandon Miller","Alabama",2023,2,4433287,"Alabama",1,13.805,NA,NA,NA,-1.53,-1.55,0.72,NA,NA
"Brandon Rush","Kansas",2008,13,28158,"Kansas",3,9.333,9.65,11.093,NA,-1.81,-1.33,-1.74,0.02,0.68
"Brice Johnson","UNC",2016,25,61653,"UNC",4,7.002,8.753,14.635,13.329,-2.36,-3.34,NA,NA,NA
"Brice Sensabaugh","Ohio State",2023,28,5105839,"Ohio State",1,9.478,NA,NA,NA,-2.85,-0.98,-0.6,NA,NA
"Bronny James","USC",2024,55,4683774,"USC",1,3.312,NA,NA,NA,-2.29,-1.71,NA,NA,NA
"Brook Lopez","Stanford",2008,10,31765,"Stanford",2,17.428,9.65,NA,NA,-0.46,-0.57,-0.36,-0.11,1.85
"Brooks Barnhizer","Northwestern",2025,44,4684208,"Northwestern",4,3.727,9.439,11.093,13.329,-2.8,NA,NA,NA,NA
"Bruce Brown","Miami (FL)",2018,42,4065670,"Miami (FL)",2,11.926,7.274,NA,NA,-0.9,-1.16,0.56,0.75,0.15
"Bruno Fernando","Maryland",2019,34,4277952,"Maryland",2,7.178,11.29,NA,NA,-1.28,-2.41,-2.13,-1.68,-1.35
"Bryce McGowens","Nebraska",2022,40,4576086,"Nebraska",1,6.836,NA,NA,NA,-3.36,-2.46,-1.97,-1.5,NA
"Buddy Hield","Oklahoma",2016,6,61663,"Oklahoma",4,3.059,9.563,13.527,22.66,-0.56,0.27,0.36,0.21,0.01
"Byron Mullens","Ohio State",2009,24,41747,"Ohio State",1,3.642,NA,NA,NA,-4,-3.82,-3.03,-3.47,-2.57
"CJ Elleby","Washington State",2020,46,4397166,"Washington State",2,6.733,11.757,NA,NA,-2.12,-2.75,NA,NA,NA
"CJ McCollum","Lehigh",2013,10,46502,"Lehigh",4,11.781,11.408,22.134,13.329,-2.17,-0.68,1.39,2,1.87
"Cade Cunningham","Oklahoma State",2021,1,4432166,"Oklahoma State",2,15.105,9.65,NA,NA,-0.79,-0.82,0.2,1.42,3.62
"Cady Lalanne","UMass",2015,55,51123,"UMass",4,3.742,6.336,5.902,13.329,-10,NA,NA,NA,NA
"Caleb Houstan","Michigan",2022,32,4433623,"Michigan",1,4.176,NA,NA,NA,-2.15,-1.06,-1.47,-1.01,NA
"Caleb Swanigan","Purdue",2017,26,3906671,"Purdue",2,4.333,19.882,NA,NA,-2.18,-3.76,-2.44,NA,NA
"Cam Christie","Minnesota",2024,46,4845363,"Minnesota",1,5.636,NA,NA,NA,-1.22,-2.63,NA,NA,NA
"Cam Reddish","Duke",2019,10,4395627,"Duke",1,6.477,NA,NA,NA,-1.28,-1.23,-1.19,-2.09,-1.45
"Cam Spencer","UConn",2024,53,4433083,"UConn",4,12.682,9.65,11.093,13.329,-1.52,-0.53,NA,NA,NA
"Cam Whitmore","Villanova",2023,20,5105592,"Villanova",1,5.719,NA,NA,NA,-0.6,-0.26,-1.38,NA,NA
"Cameron Bairstow","New Mexico",2014,49,51163,"New Mexico",4,2.303,5.524,17.165,13.329,-3.4,-2.88,NA,NA,NA
"Cameron Johnson","UNC",2019,11,3138196,"UNC",4,8.736,12.077,11.093,13.329,-0.29,0.35,0.66,1.49,0.51
"Cameron Payne","Murray State",2015,14,66902,"Murray State",2,11.301,18.208,NA,NA,-1.94,-3.19,-1.84,-1.97,-0.96
"Caris LeVert","Michigan",2016,20,61810,"Michigan",4,9.459,9.65,11.093,13.329,-0.13,-1.03,0.21,0.99,-0.53
"Carrick Felix","Arizona State",2013,33,51084,"Arizona State",3,3.568,8.433,11.093,NA,-2.22,-1.78,NA,NA,NA
"Carsen Edwards","Purdue",2019,33,4066407,"Purdue",3,7.872,15.905,18.855,NA,-1.8,-2.03,-2.66,NA,NA
"Carter Bryant","Arizona",2025,14,5061568,"Arizona",1,3.359,NA,NA,NA,-1.78,NA,NA,NA,NA
"Cason Wallace","Kentucky",2023,10,4683692,"Kentucky",1,7.122,NA,NA,NA,0.66,0.61,1.38,NA,NA
"Cassius Stanley","Duke",2020,54,4431686,"Duke",1,6.907,NA,NA,NA,-2.65,-2.19,NA,NA,NA
"Cassius Winston","Michigan State",2020,53,4066382,"Michigan State",4,8.258,13.568,19.607,16.443,-2.97,-2.95,NA,NA,NA
"Chandler Hutchison","Boise State",2018,22,3149010,"Boise State",4,2.835,13.65,15.773,13.329,-1.56,-1.38,-2.72,-2.83,NA
"Chandler Parsons","Florida",2011,38,36383,"Florida",4,5.022,3.836,8.351,7.352,0.24,0.57,0.99,1.44,0.96
"Charles Bassey","Western Kentucky",2021,53,4397886,"Western Kentucky",3,9.316,15.839,11.093,NA,-1.36,-1.13,0.09,-0.58,-0.04
"Charles Jenkins","Hofstra",2011,44,31911,"Hofstra",4,7.255,10.152,14.248,18.673,-3.71,-3.28,NA,NA,NA
"Chase Budinger","Arizona",2009,44,31642,"Arizona",3,11.959,12.89,11.093,NA,-0.45,0.08,0.45,-0.11,-0.57
"Chaz Lanier","Tennessee",2025,37,4700852,"Tennessee",4,11.701,9.65,11.093,13.329,-3.03,NA,NA,NA,NA
"Chet Holmgren","Gonzaga",2022,2,4433255,"Gonzaga",1,12.241,NA,NA,NA,0.15,2.46,1.86,4.12,NA
"Chimezie Metu","USC",2018,49,3914283,"USC",3,2.558,11.612,10.812,NA,-3.57,-2.22,-2.15,-1.76,-0.13
"Chinanu Onuaku","Louisville",2016,37,3147366,"Louisville",2,2.291,7.062,NA,NA,-1.47,-0.91,NA,NA,NA
"Chinemelu Elonu","Texas A&M",2009,59,30778,"Texas A&M",3,4.201,9.65,11.093,NA,-10,NA,NA,NA,NA
"Chris Douglas-Roberts","Memphis",2008,40,26973,"Memphis",3,13.199,9.65,11.093,NA,-1.63,-1.74,-0.88,-0.78,-0.09
"Chris Duarte","Oregon",2021,13,4592402,"Oregon",2,8.916,16.196,NA,NA,-1.33,-1.83,-1.62,-1.1,-1.32
"Chris Livingston","Kentucky",2023,58,4433622,"Kentucky",1,2.289,NA,NA,NA,-2.49,-1.89,-1.78,NA,NA
"Chris Singleton","Florida State",2011,18,40974,"Florida State",3,2.414,4.103,6.379,NA,-0.73,-1.31,-2.03,NA,NA
"Christian Braun","Kansas",2022,21,4431767,"Kansas",3,2.977,5.977,11.495,NA,-1.22,-1.25,1.23,0.75,NA
"Christian Koloko","Arizona",2022,33,4431778,"Arizona",3,3.904,9.483,11.093,NA,-1.2,-0.76,-1.31,-2.26,NA
"Chuma Okeke","Auburn",2019,16,4278052,"Auburn",2,5.234,9.598,NA,NA,-0.89,-0.59,-0.76,-1.26,-0.04
"Cleanthony Early","Wichita State",2014,34,62186,"Wichita State",2,8.337,12.264,NA,NA,-2.21,-3.01,NA,NA,NA
"Coby White","UNC",2019,7,4395651,"UNC",1,9.769,NA,NA,NA,-1.32,-1.5,-1.65,0.22,0.45
"Cody Martin","Nevada",2019,36,3138161,"Nevada",4,12.47,9.235,11.093,13.329,-0.77,-0.04,1,0.01,-0.62
"Cody Williams","Colorado",2024,10,4895758,"Colorado",1,6.345,NA,NA,NA,-3.72,-2.9,NA,NA,NA
"Cody Zeller","Indiana",2013,4,56224,"Indiana",2,15.222,14.473,NA,NA,-0.69,-0.07,2,2.58,2.6
"Colby Jones","Xavier",2023,34,4433378,"Xavier",3,8.686,8.947,11.093,NA,-1.61,-1.19,-1.26,NA,NA
"Cole Aldrich","Kansas",2010,11,36170,"Kansas",3,10.861,8.426,11.093,NA,-3.13,-2.25,-2.44,-0.01,-0.73
"Cole Anthony","UNC",2020,15,4432809,"UNC",1,9.992,NA,NA,NA,-3.07,-1.71,-0.54,-0.75,0.33
"Collin Murray-Boyles","South Carolina",2025,9,5093267,"South Carolina",2,8.23,13.234,NA,NA,0.28,NA,NA,NA,NA
"Collin Sexton","Alabama",2018,8,4277811,"Alabama",1,14.506,NA,NA,NA,-2.07,-1.49,-1.26,-1.98,-1.15
"Colton Iverson","Colorado State",2013,53,41566,"Colorado State",4,9.802,9.65,11.093,13.329,-10,NA,NA,NA,NA
"Cooper Flagg","Duke",2025,1,5041939,"Duke",1,22.757,NA,NA,NA,-0.13,NA,NA,NA,NA
"Corey Kispert","Gonzaga",2021,15,4280151,"Gonzaga",4,4.37,4.433,9.333,16.975,-1.4,-0.76,-1.59,-1.45,-1.89
"Cory Jefferson","Baylor",2014,60,45990,"Baylor",4,9.161,9.584,11.093,13.329,-2.19,-2.47,NA,NA,NA
"Cory Joseph","Texas",2011,29,51445,"Texas",1,5.105,NA,NA,NA,-1.85,-1.42,0.09,0.21,-0.78
"Courtney Lee","Western Kentucky",2008,22,22628,"Western Kentucky",4,15.578,9.65,11.093,13.329,-0.15,-0.44,-0.65,-0.4,0.11
"Craig Brackins","Iowa State",2010,21,36262,"Iowa State",3,5.759,10.757,8.492,NA,-2.44,-3.35,NA,NA,NA
"D'Angelo Russell","Ohio State",2015,2,3136776,"Ohio State",1,18.632,NA,NA,NA,-2.54,-1.76,-1.09,0.61,-0.81
"D.J. Augustin","Texas",2008,9,31578,"Texas",2,19.068,9.65,NA,NA,0.61,-0.32,-0.82,-2.32,-2.39
"D.J. White","Indiana",2008,29,22340,"Indiana",4,15.273,9.65,11.093,13.329,-10,NA,NA,NA,NA
"D.J. Wilson","Michigan",2017,17,3136491,"Michigan",3,10.978,9.65,11.093,NA,-2,-2.68,-2.68,-2.67,-1.92
"Da'Sean Butler","West Virginia",2010,42,31667,"West Virginia",4,8.692,9.92,15.842,13.329,-1.83,NA,NA,NA,NA
"DaJuan Summers","Georgetown",2009,35,32020,"Georgetown",3,7.186,5.84,11.093,NA,-2.61,-3.43,-2.87,-2.85,NA
"DaRon Holmes","Dayton",2024,22,4433607,"Dayton",3,9.949,14.541,18.49,NA,-1.55,-0.37,NA,NA,NA
"Dakari Johnson","Kentucky",2015,48,66620,"Kentucky",2,5.71,9.65,NA,NA,-1.19,NA,NA,NA,NA
"Dalano Banton","Nebraska",2021,46,4397885,"Nebraska",2,4.764,9.65,NA,NA,-1.55,-0.06,-1.31,-1.64,-1.64
"Dalen Terry","Arizona",2022,18,4433159,"Arizona",2,2.423,6.1,NA,NA,-0.61,0.29,-1.32,-0.65,NA
"Dalton Knecht","Tennessee",2024,17,4897943,"Tennessee",3,14.109,9.65,11.093,NA,-0.74,-1.58,NA,NA,NA
"Damian Jones","Vanderbilt",2016,30,66275,"Vanderbilt",3,5.53,8.631,7.686,NA,-2.37,-2.72,-1.06,-0.4,-0.93
"Damian Lillard","Weber State",2012,6,41544,"Weber State",4,4.257,13.666,25,13.329,0.18,1.38,2.18,2.54,3.61
"Damion James","Texas",2010,24,31581,"Texas",4,10.41,8.378,13.688,13.329,-1,-1.21,-0.9,-1.81,NA
"Daniel Gafford","Arkansas",2019,38,4278049,"Arkansas",2,8.182,10.365,NA,NA,-1.04,1.68,0.2,-0.39,0.75
"Daniel Hamilton","UConn",2016,56,3147351,"UConn",2,7.217,8.904,NA,NA,-1.36,-2.22,NA,NA,NA
"Daniel Oturu","Minnesota",2020,33,4397215,"Minnesota",2,6.453,17.81,NA,NA,-3.31,-2.4,NA,NA,NA
"Danny Green","UNC",2009,46,27017,"UNC",4,7.608,6.822,11.093,13.329,-0.81,-0.89,2.56,2.87,4.01
"Danny Wolf","Michigan",2025,27,5107173,"Michigan",3,8.458,9.65,11.093,NA,-1.49,NA,NA,NA,NA
"Dante Cunningham","Villanova",2009,33,26961,"Villanova",4,5.442,8.412,11.093,13.329,-1.23,-1.05,-0.64,-0.51,-0.58
"Darington Hobson","New Mexico",2010,37,36419,"New Mexico",1,11.197,NA,NA,NA,-1.85,-2.61,NA,NA,NA
"Dariq Whitehead","Duke",2023,22,4432735,"Duke",1,3.188,NA,NA,NA,-1.74,-2.48,-2.86,NA,NA
"Darius Johnson-Odom","Marquette",2012,55,45571,"Marquette",3,6.459,6.402,12.267,NA,-2.29,-3.26,NA,NA,NA
"Darius Miller","Kentucky",2012,46,41836,"Kentucky",4,1.544,3.019,6.371,7.024,-0.92,-0.2,-0.48,-0.81,-1.34
"Darius Morris","Michigan",2011,41,3163079,"Michigan",2,1.075,11.999,NA,NA,-2.58,-2.59,-3.17,-3.29,NA
"Darnell Jackson","Kansas",2008,52,22178,"Kansas",4,8.25,9.65,11.093,13.329,-3.41,-3.97,-2.91,NA,NA
"Darrell Arthur","Kansas",2008,27,31786,"Kansas",2,8.325,9.65,NA,NA,-1.76,-3.05,-0.63,-0.46,-2.42
"Darren Collison","UCLA",2009,21,26892,"UCLA",4,12.998,10.921,11.093,13.329,-1.72,-1.7,-0.71,-1.06,-0.33
"Darrun Hilliard","Villanova",2015,38,56181,"Villanova",4,2.194,4.77,9.735,11.169,-1.88,-2.02,-2.37,NA,NA
"David Johnson","Louisville",2021,47,4592204,"Louisville",2,4.989,6.369,NA,NA,-1.69,NA,NA,NA,NA
"David Roddy","Colorado State",2022,23,4593041,"Colorado State",3,5.541,14.442,19.8,NA,-2.5,-3.29,-2.14,-1.77,NA
"Davion Mitchell","Baylor",2021,9,4278053,"Baylor",3,5.699,15.214,11.093,NA,-2.6,-1.18,-1.74,-0.04,-0.21
"Davon Reed","Miami (FL)",2017,32,66130,"Miami (FL)",4,3.542,5.997,6.054,13.498,-2.21,-2.44,-1.03,-2.34,NA
"Day'Ron Sharpe","UNC",2021,29,4432194,"UNC",1,6.645,NA,NA,NA,-1.68,-0.88,0.14,1.05,1.23
"De'Aaron Fox","Kentucky",2017,5,4066259,"Kentucky",1,15.568,NA,NA,NA,-2.51,0.3,0.72,0.76,-0.53
"De'Andre Hunter","Virginia",2019,4,4065732,"Virginia",2,8.588,14.734,NA,NA,-1.86,-0.71,-1.66,-1.31,-0.76
"DeAndre Daniels","UConn",2014,37,56635,"UConn",3,5.09,8.306,11.093,NA,-10,NA,NA,NA,NA
"DeAndre Jordan","Texas A&M",2008,35,36142,"Texas A&M",1,4.81,NA,NA,NA,-0.9,-1.71,0,0.29,0.79
"DeAndre Liggins","Kentucky",2011,53,41837,"Kentucky",3,1.409,1.744,3.662,NA,-1.24,-0.87,-0.95,-1.16,-1.96
"DeAndre' Bembry","Saint Joseph's",2016,21,67645,"Saint Joseph's",3,6.004,11.555,13.266,NA,-0.89,-1.02,-1.07,-0.97,-0.71
"DeJuan Blair","Pitt",2009,37,36578,"Pitt",2,8.362,13.275,NA,NA,0.02,-0.54,-0.75,-0.79,-0.33
"DeMar DeRozan","USC",2009,9,41016,"USC",1,6.758,NA,NA,NA,-2.24,-1.96,-1.82,-1.96,-0.54
"DeMarcus Cousins","Kentucky",2010,5,45882,"Kentucky",1,11.462,NA,NA,NA,-1.29,-0.7,-0.24,0.94,1.41
"DeMarre Carroll","Missouri",2009,27,22107,"Missouri",4,8.419,10.279,11.093,13.329,-2.59,-2.2,-1.83,0.88,1.4
"DeVon Hardin","California",2008,50,22477,"California",4,5.348,9.65,11.093,13.329,-10,NA,NA,NA,NA
"Deandre Ayton","Arizona",2018,1,4278129,"Arizona",1,20.538,NA,NA,NA,-1.06,0.09,1.96,2.48,0.74
"Dejounte Murray","Washington",2016,29,3907497,"Washington",1,6.231,NA,NA,NA,-2.28,1.5,1.33,-0.29,0.58
"Delon Wright","Utah",2015,20,66236,"Utah",2,17.033,19.258,NA,NA,-0.08,0.25,1.25,0.17,-0.61
"Demetrius Jackson","Notre Dame",2016,45,66284,"Notre Dame",3,3.207,10.771,11.688,NA,-1.95,-1.25,-0.74,NA,NA
"Dennis Smith","NC State",2017,9,4065697,"NC State",1,15.767,NA,NA,NA,-1.52,-2.36,-2.84,-1.37,-0.88
"Denzel Valentine","Michigan State",2016,14,62615,"Michigan State",4,2.378,5.707,12.344,24.841,-1.59,-1.13,-1,-1.44,-1.66
"Dereck Lively","Duke",2023,12,4683688,"Duke",1,3.411,NA,NA,NA,0.91,1.06,0.51,NA,NA
"Derik Queen","Maryland",2025,13,4869780,"Maryland",1,12.968,NA,NA,NA,-0.5,NA,NA,NA,NA
"Deron Washington","Virginia Tech",2008,59,22558,"Virginia Tech",4,7.914,9.65,11.093,13.329,-10,NA,NA,NA,NA
"Derrick Brown","Xavier",2009,40,26936,"Xavier",3,7.946,9.205,11.093,NA,-1.28,-0.18,-1.29,NA,NA
"Derrick Caracter","UTEP",2010,58,32008,"UTEP",3,7.716,9.65,11.093,NA,-2.63,-2.5,NA,NA,NA
"Derrick Favors","Georgia Tech",2010,3,45521,"Georgia Tech",1,7.539,NA,NA,NA,-2.03,-1.75,0.13,-1.21,1.17
"Derrick Rose","Memphis",2008,1,36204,"Memphis",1,12.265,NA,NA,NA,-1.4,-0.08,2.31,2.73,2.66
"Derrick White","Colorado",2017,29,67845,"Colorado",2,18.28,9.65,NA,NA,-0.4,1.19,1.75,1.87,0.7
"Derrick Williams","Arizona",2011,2,45854,"Arizona",2,9.563,15.566,NA,NA,-1.76,-2.68,-2.42,-2.26,-2.4
"Deshaun Thomas","Ohio State",2013,58,51406,"Ohio State",3,13.631,16.426,11.093,NA,-10,NA,NA,NA,NA
"Desmond Bane","TCU",2020,30,4066320,"TCU",4,5.474,7.786,10.594,14.099,-1.02,1.99,2.49,1.59,1.45
"Devin Booker","Kentucky",2015,13,3136193,"Kentucky",1,7.184,NA,NA,NA,-2.69,-1.12,-1.17,0.15,1.62
"Devin Carter","Providence",2024,13,4433188,"Providence",3,6.967,15.363,11.093,NA,-1,-0.42,NA,NA,NA
"Devin Ebanks","West Virginia",2010,43,41840,"West Virginia",2,6.082,8.374,NA,NA,-1.88,-2.07,-2.79,NA,NA
"Devin Vassell","Florida State",2020,11,4395630,"Florida State",2,9.606,9.65,NA,NA,-1.64,-0.1,-0.96,-1.25,-1.27
"Devon Hall","Virginia",2018,53,66138,"Virginia",4,1.906,8.149,12.305,13.329,-2.16,NA,NA,NA,NA
"Devonte' Graham","Kansas",2018,34,3133601,"Kansas",4,4.02,7.657,12.244,18.134,-2.31,-0.31,-0.01,-0.94,-1.71
"Dexter Pittman","Texas",2010,32,31583,"Texas",4,4.923,5.449,11.093,13.329,-2.79,-2.96,-3.88,-3,NA
"Deyonta Davis","Michigan State",2016,31,3937101,"Michigan State",1,4.372,NA,NA,NA,-2.71,-1.81,-1.41,NA,NA
"Diamond Stone","Maryland",2016,40,3924880,"Maryland",1,7.612,NA,NA,NA,-3.06,NA,NA,NA,NA
"Dillon Brooks","Oregon",2017,45,3155526,"Oregon",3,6.235,12.258,15.402,NA,-2.25,-1.66,-1.09,0.53,0.85
"Dillon Jones","Weber State",2024,26,4702159,"Weber State",4,6.29,8.905,11.093,13.329,-2.43,-1.96,NA,NA,NA
"Dion Waiters","Syracuse",2012,4,51344,"Syracuse",2,2.763,9.713,NA,NA,-0.13,0.12,-1.13,-0.71,0.37
"Domantas Sabonis","Gonzaga",2016,11,3155942,"Gonzaga",2,7.312,16.23,NA,NA,-2.71,-1.03,0.55,1.02,1.26
"Dominique Jones","South Florida",2010,25,36237,"South Florida",3,11.383,10.816,17.981,NA,-1.21,-2.18,-1.33,NA,NA
"Donovan Clingan","UConn",2024,7,5105565,"UConn",2,11.032,9.65,NA,NA,-0.65,1.26,NA,NA,NA
"Donovan Mitchell","Louisville",2017,13,3908809,"Louisville",2,4.442,15.358,NA,NA,1.32,2.82,2.37,3.15,3.48
"Donte DiVincenzo","Villanova",2018,17,3934673,"Villanova",3,8.569,11.44,11.093,NA,-0.75,0.65,0.47,-0.52,0.1
"Donte Greene","Syracuse",2008,28,36582,"Syracuse",1,9.643,NA,NA,NA,-2.79,-1.61,-0.77,0.27,-0.21
"Doron Lamb","Kentucky",2012,42,51543,"Kentucky",2,6.775,11.257,NA,NA,-2.54,-1.53,NA,NA,NA
"Doug McDermott","Creighton",2014,11,51586,"Creighton",4,6.846,18.814,20.057,25,-2.98,-2.71,-2.39,-1.01,-0.71
"Drake Powell","UNC",2025,22,5037873,"UNC",1,3.187,NA,NA,NA,-3.28,NA,NA,NA,NA
"Draymond Green","Michigan State",2012,35,41760,"Michigan State",4,7.459,8.786,16.846,13.329,-0.65,1.8,2.85,4.55,4.11
"Dwayne Bacon","Florida State",2017,40,3907821,"Florida State",2,6.671,12.999,NA,NA,-3.26,-1.74,-2.47,-3.44,NA
"Dwayne Collins","Miami (FL)",2010,60,31999,"Miami (FL)",4,5.461,4.96,6.722,13.329,-10,NA,NA,NA,NA
"Dwight Powell","Stanford",2014,45,51365,"Stanford",4,3.021,3.316,9.277,9.165,-1.68,-0.66,0.51,1.76,1.94
"Dylan Harper","Rutgers",2025,2,5037871,"Rutgers",1,13.568,NA,NA,NA,-0.67,NA,NA,NA,NA
"Dylan Windler","Belmont",2019,26,3906786,"Belmont",4,1.816,8.162,15.071,15.999,-1.84,-0.88,-0.85,-0.2,-1.55
"E'Twaun Moore","Purdue",2011,55,36152,"Purdue",4,8.562,6.3,10.149,13.072,-1.73,-2.33,-1.23,-0.48,0.03
"E.J. Liddell","Ohio State",2022,41,4432821,"Ohio State",3,4.201,13.843,20.046,NA,-1.74,-1.19,-1.86,-0.85,NA
"Earl Clark","Louisville",2009,14,32006,"Louisville",3,6.965,7.441,11.093,NA,-3.4,-3.88,-3.78,-2.36,-2.18
"Ed Davis","UNC",2010,13,36668,"UNC",2,2.556,7.297,NA,NA,-2.65,-2.34,-1.77,-1.6,-0.41
